sep=,
type,sourceName,sourceVersion,productType,device,startDate,endDate,unit,value,HKFoodType,HKExternalUUID
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-15 10:36:25 +0000,2023-09-15 10:36:25 +0000,kcal,82.8,"Kichererbsen, gekocht",ea429986-6c40-4f6c-a7c7-0771cd2f2472
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-15 10:36:37 +0000,2023-09-15 10:36:37 +0000,kcal,132.6,Olivenöl,4b2bb254-ad1d-4a39-a36b-53277675256f
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-15 11:34:25 +0000,2023-09-15 11:34:25 +0000,kcal,45.409,Celebrations,9792214b-7e7f-4f9c-b80f-1717a2fcaa83
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-15 11:34:48 +0000,2023-09-15 11:34:48 +0000,kcal,54.0,Apfel,88a976d8-639c-420c-814e-dbca1fe367aa
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-15 14:06:37 +0000,2023-09-15 14:06:37 +0000,kcal,186.0,Vanillepudding,a8f71a89-fdc0-4547-a2c3-d1b06d651c7b
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-15 17:35:38 +0000,2023-09-15 17:35:38 +0000,kcal,175.8,Schokolade Weisse Mandel 200g,3e57b4ba-a2d7-42ce-a39f-6b0e2e3456fa
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-15 18:42:20 +0000,2023-09-15 18:42:20 +0000,kcal,190.0,"Weizenbier (Weißbier, Hefeweizen) 5 Vol.%",b84641f2-3025-4719-8832-90f6e412459c
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-15 18:42:59 +0000,2023-09-15 18:42:59 +0000,kcal,402.0,"Putenschnitzel (Truthahnschnitzel), natur",6339db57-dbef-4a73-8764-c30eb988b402
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-15 18:43:03 +0000,2023-09-15 18:43:03 +0000,kcal,80.0,Beilagensalat,101af2f3-ed05-414d-bac7-23ba0c2ac7f9
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-15 18:43:17 +0000,2023-09-15 18:43:17 +0000,kcal,418.25,Pizza Salami (Salamipizza),57e11c24-f257-4667-b1a1-ac40af7984d5
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-15 20:35:21 +0000,2023-09-15 20:35:21 +0000,kcal,280.0,Aperol Spritz,6deeeff0-f643-4915-8850-d45701cd3611
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-16 08:35:08 +0000,2023-09-16 08:35:08 +0000,kcal,56.699999999999996,2 in 1 Kaffee,5bc16763-6cef-4dde-bffc-ed7d703138ec
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-16 08:35:09 +0000,2023-09-16 08:35:09 +0000,kcal,165.0,Magerquark,7ed6065b-a205-42a4-884e-f2409298c57e
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-16 08:35:11 +0000,2023-09-16 08:35:11 +0000,kcal,1.5356,Mivolis Vitamin D3,36e29459-0c1f-4af7-8601-ed0fd32aac80
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-16 08:35:11 +0000,2023-09-16 08:35:11 +0000,kcal,2.5,Ultrapure Creatine,eb4be75a-e47e-46bf-bf09-8bbe5bace695
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-16 08:35:16 +0000,2023-09-16 08:35:16 +0000,kcal,100.39999999999999,Studentenfutter,f8bfacc0-9d29-47df-9fe2-dccac536db09
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-16 12:17:37 +0000,2023-09-16 12:17:37 +0000,kcal,29.715,Kinder Schokolade (Kinderriegel),08b947bf-e0b3-4d7b-b755-ab2f6ce8a0fd
HKQuantityTypeIdentifierDietaryEnergyConsumed,YAZIO,1651,"iPhone14,3",,2023-09-16 12:34:41 +0000,2023-09-16 12:34:41 +0000,kcal,18.799999999999997,Fettarme H-Milch,e39bb18f-7688-4794-b711-68e81440a5eb
