sep=,
type,sourceName,sourceVersion,productType,device,startDate,endDate,unit,value,HKExternalUUID
HKQuantityTypeIdentifierBodyMass,YAZIO,1654,"Watch4,2",,2023-09-28 05:21:04 +0000,2023-09-28 05:21:04 +0000,kg,93.9000015258789,f5bf55c1-04b3-43de-95f9-37aaffc55fce
HKQuantityTypeIdentifierBodyMass,YAZIO,1654,"Watch4,2",,2023-09-28 05:21:04 +0000,2023-09-28 05:21:04 +0000,kg,93.9000015258789,549a163b-6b65-45d1-ae8c-1abb290927f0
HKQuantityTypeIdentifierBodyMass,YAZIO,1654,"Watch4,2",,2023-09-28 05:21:04 +0000,2023-09-28 05:21:04 +0000,kg,93.9000015258789,3ea68f88-85ec-485f-a238-16eadc2245f4
HKQuantityTypeIdentifierBodyMass,YAZIO,1654,"Watch4,2",,2023-09-28 05:21:04 +0000,2023-09-28 05:21:04 +0000,kg,93.9000015258789,a1fa0615-c748-42e3-ba17-b06a39636bbd
HKQuantityTypeIdentifierBodyMass,YAZIO,1654,"Watch4,2",,2023-09-28 05:21:04 +0000,2023-09-28 05:21:04 +0000,kg,93.9000015258789,b2ff064d-1a7d-4e63-9c83-acb530f9159b
HKQuantityTypeIdentifierBodyMass,YAZIO,1654,"Watch4,2",,2023-09-28 05:21:04 +0000,2023-09-28 05:21:04 +0000,kg,93.9000015258789,f9976744-515c-4f85-9cbf-92b4dda2d4dc
HKQuantityTypeIdentifierBodyMass,Renpho,1,"iPhone14,3",,2023-09-29 05:16:27 +0000,2023-09-29 05:16:27 +0000,kg,94.6500015258789,
HKQuantityTypeIdentifierBodyMass,YAZIO,1654,"Watch4,2",,2023-09-29 05:16:27 +0000,2023-09-29 05:16:27 +0000,kg,94.6500015258789,b5d5fd14-1daf-4680-81b7-c6fbbc5ee4b9
HKQuantityTypeIdentifierBodyMass,YAZIO,1654,"Watch4,2",,2023-09-29 05:16:27 +0000,2023-09-29 05:16:27 +0000,kg,94.6500015258789,d5b89840-2637-4cf9-ab8e-76f365694e3e
HKQuantityTypeIdentifierBodyMass,YAZIO,1654,"Watch4,2",,2023-09-29 05:16:27 +0000,2023-09-29 05:16:27 +0000,kg,94.6500015258789,e4917483-d980-42bf-a4be-e3157ce4d2b8
HKQuantityTypeIdentifierBodyMass,YAZIO,1654,"Watch4,2",,2023-09-29 05:16:27 +0000,2023-09-29 05:16:27 +0000,kg,94.6500015258789,fbaf37c9-4c4e-4707-bbb1-cf37e610c285
